state,city,zip,Y,X,compid,id
PA,Mill Hall,17751,41.106295,-77.488495,2,1
OH,Austinburg,44010,41.760517,-80.850566,2,2
OH,Austintown,44515,41.099874,-80.751233,2,3
OH,Avon,44011,41.448666,-82.021439,2,4
OH,Cambridge,43725,40.027358,-81.593383,2,5
OH,Circleville,43113,39.594775,-82.936458,2,6
OH,Franklin,45005,39.52896,-84.29742,2,7
OH,North Lima,44452,40.952505,-80.658498,2,8
OH,Perrysburg,43551,41.542639,-83.597702,2,9
OH,Seville,44273,41.027572,-81.883128,2,10
OH,Sunbury,43074,40.269436,-82.843951,2,11
OH,Toledo,43612,41.702832,-83.539208,2,12
OH,Wilmington,45177,39.453237,-83.843068,2,13
MI,Battle Creek,49014,42.312625,-85.106599,2,14
MI,Dexter,48130,42.353665,-83.897388,2,15
MI,Ionia,49014,42.312625,-85.106599,2,16
MI,Monroe,48162,41.94,-83.313333,2,17
MI,Ottawa Lake,49267,41.758173,-83.692281,2,18
IN,Daleville,47334,40.122017,-85.548158,2,19
IN,Freemont,46737,41.7219,-84.92022,2,20
IN,Greenfield,46140,39.794852,-85.791522,2,21
IN,Highland,46322,41.551945,-87.457161,2,22
IN,Remington,47977,40.76398,-87.150709,2,23
IN,South Bend,46628,41.698701,-86.309464,2,24
IN,Valparaiso,46383,41.489214,-87.074602,2,25
IN,Whiteland,46184,39.555508,-86.091336,2,26
IL,Monee,60449,41.419345,-87.774708,2,27
WI,Oak Creek,53154,42.88606,-87.903062,2,28
KY,Mt. Sterling,40353,38.057445,-83.934406,2,29
IA,Walcott,52773,41.63646,-90.75894,2,30
MO,Booneville,65233,38.964646,-92.743139,2,31
KY,Franklin,42134,36.728547,-86.572927,2,32
KY,Georgetown,40324,38.220225,-84.565091,2,33
KY,Glendale,42740,37.591766,-85.93973,2,34
KY,Oak Grove,42262,36.677845,-87.447679,2,35
KY,Sulphur,40070,38.488992,-85.232317,2,36
TN,Greeneville,37745,36.186641,-82.815175,2,37
TN,Lavergne,37086,36.013661,-86.565021,2,38
TN,Hurricane Mills,37078,35.949864,-87.761509,2,39
NC,Kannapolis,28083,35.483897,-80.599575,2,40
NC,Mebane,27302,36.089915,-79.285944,2,41
NC,PLEASANT HILL,27866,36.525713,-77.514848,2,42
SC,Benton,29018,33.34911,-80.687537,2,43
SC,Clinton,29325,34.470685,-81.887131,2,44
SC,Florence,29506,34.2099,-79.73412,2,45
SC,Piedmont,29673,34.67513,-82.534256,2,46
SC,Summerville,29483,33.017824,-80.21135,2,47
GA,AUGUSTA,30909,33.478228,-82.067015,2,48
GA,Brazelton,30571,34.743332,-83.716475,2,49
GA,Cartersville,30121,34.228469,-84.789525,2,50
GA,Dublin,31021,32.542986,-82.909684,2,51
GA,LaGrange,30240,33.030882,-85.03697,2,52
GA,Port Wentworth,31407,32.16666,-81.17274,2,53
GA,Savannah,31408,32.172908,-81.206224,2,54
GA,Valdosta,31601,30.825593,-83.284447,2,55
AL,Satsuma,36572,30.854788,-88.056897,2,56
AL,Tuscaloosa,35405,33.157819,-87.51716,2,57
MS,Jackson,39204,32.285241,-90.230923,2,58
LA,Denham Springs,70726,30.495187,-90.921746,2,59
PA,New Castle,16051,40.961226,-80.153974,2,60
LA,LaPlace,70068,30.05496,-90.48054,2,61
FL,Baldwin,32234,30.219367,-81.997401,2,62
FL,Cocoa,32926,28.387668,-80.791132,2,63
FL,Ellenton,34222,27.5334,-82.500332,2,64
FL,Fort Pierce,34945,27.42497,-80.450133,2,65
FL,Jacksonville,32259,30.091233,-81.625682,2,66
FL,Ocala,34482,29.229052,-82.306676,2,67
FL,Punta Gorda,33950,26.912326,-82.046888,2,68
FL,Wildwood,34785,28.860356,-82.040896,2,69
FL,Yeehaw Junction,34972,27.325224,-80.849484,2,70
OH,Vandalia,45377,39.889016,-84.205982,2,71
TX,Big Lake,76932,31.212019,-101.46334,2,72
TX,Tilden,78072,28.347668,-98.653364,2,73
TX,Childress,79201,34.4325,-100.14582,2,74
OK,Tonkawa,74653,36.679522,-97.302551,2,75
NV,Fernley,89408,39.597279,-119.231521,2,76
TX,Junction,76849,30.46284,-99.71004,2,77
IA,Mt. Pleasant,52641,40.968419,-91.548901,2,78
CA,Lathrop,95330,37.818495,-121.286548,2,79
CA,Orland,95963,39.745762,-122.190763,2,80
WY,Rock Springs,82901,41.59755,-109.234183,2,81
IN,Lake Station,45405,39.787602,-84.210619,2,82
MI,Holland,45923,42.7875,-86.10889,2,83
TX,Wheeler,79096,35.440865,-100.274083,2,84
