StatusDate,Amount,StatusTime,location,state,city,zip,Y,X,zipA,monthn,year,day,compid,id
15Feb2017,99,9:24:00,074,OK,Lindsay,73052,34.840396,-97.607974,-97.607974-34.840396,2,2017,15,1,1977
08Dec2017,429,18:30:00,207,CA,Coachella,92236,33.68036,-116.178246,-116.178246-33.68036,12,2017,8,1,2000
27Oct2017,227,18:34:00,220,WY,Cheyenne,82007,41.111908,-104.863666,-104.863666-41.111908,10,2017,27,1,2012
26Mar2018,74,12:05:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,26,1,2016
26Mar2018,40,16:31:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,26,1,2016
26Mar2018,44,16:57:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,26,1,2016
10Mar2018,70,19:22:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,10,1,2016
11Mar2018,24,1:57:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,11,1,2016
11Mar2018,70,4:36:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,11,1,2016
06May2017,292,18:12:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,5,2017,6,1,2016
11Mar2018,160,20:47:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,11,1,2016
11Mar2018,114,16:08:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,11,1,2016
11Mar2018,17,17:10:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,11,1,2016
12Mar2018,70,2:30:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,12,1,2016
12Mar2018,60,6:20:00,225,AL,Evergreen,36401,31.430309,-86.956166,-86.956166-31.430309,3,2018,12,1,2016
05Apr2017,34,8:31:00,228,FL,Auburndale,33868,28.195584,-81.831716,-81.831716-28.195584,4,2017,5,1,2019
22Oct2017,17,16:24:00,231,TX,Hillsboro,76645,32.01474,-97.10886,-97.10886-32.01474,10,2017,22,1,2022
24Oct2017,40,20:46:00,231,TX,Hillsboro,76645,32.01474,-97.10886,-97.10886-32.01474,10,2017,24,1,2022
22Mar2017,374,16:07:00,234,TX,Katy,77494,29.753968,-95.810176,-95.810176-29.753968,3,2017,22,1,2024
15Jan2017,97,21:19:00,242,TX,Von Ormy,78073,29.254866,-98.613495,-98.613495-29.254866,1,2017,15,1,2031
06Apr2017,87,22:16:00,242,TX,Von Ormy,78073,29.254866,-98.613495,-98.613495-29.254866,4,2017,6,1,2031
05May2017,157,6:48:00,259,NM,Las Cruces,88004,32.333848,-106.719414,-106.719414-32.333848,5,2017,5,1,2047
12Feb2017,114,19:51:00,261,TX,Amarillo,79110,35.149965,-101.872798,-101.872798-35.149965,2,2017,12,1,2049
19Dec2017,298,16:32:00,262,NM,Tucumcari,88401,35.169863,-103.720274,-103.720274-35.169863,12,2017,19,1,2050
30Jan2017,105,12:05:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,1,2017,30,1,2051
29Apr2017,92,10:47:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,29,1,2051
29Apr2017,96,14:24:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,29,1,2051
07Apr2017,10,10:17:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,7,1,2051
07Apr2017,22,10:21:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,7,1,2051
07Apr2017,7,0:00:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,7,1,2051
07Apr2017,60,10:56:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,7,1,2051
08Apr2017,37,13:39:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,8,1,2051
08Apr2017,27,14:00:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,8,1,2051
13Apr2017,85,16:32:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,13,1,2051
11Apr2017,77,10:54:00,263,OK,Lawton,73501,34.61124,-98.39599,-98.39599-34.61124,4,2017,11,1,2051
26Aug2017,38,20:15:00,264,TX,Luling,78648,29.678992,-97.646226,-97.646226-29.678992,8,2017,26,1,2052
12Feb2017,152,11:25:00,280,AZ,Buckeye,85326,33.382557,-112.568263,-112.568263-33.382557,2,2017,12,1,2068
08Nov2017,180,0:00:00,284,TX,Edinburg,78541,26.295361,-98.16343,-98.16343-26.295361,11,2017,8,1,2072
07Nov2017,120,0:00:00,284,TX,Edinburg,78541,26.295361,-98.16343,-98.16343-26.295361,11,2017,7,1,2072
15Jan2018,129,12:42:00,284,TX,Edinburg,78541,26.295361,-98.16343,-98.16343-26.295361,1,2018,15,1,2072
11Jan2018,44,19:29:00,287,TX,Van Horn,75790,32.52924,-95.63749,-95.63749-32.52924,1,2018,11,1,2075
11Jan2018,74,19:42:00,287,TX,Van Horn,75790,32.52924,-95.63749,-95.63749-32.52924,1,2018,11,1,2075
11Jan2018,116,20:22:00,287,TX,Van Horn,75790,32.52924,-95.63749,-95.63749-32.52924,1,2018,11,1,2075
15Jan2018,62,17:13:00,294,TX,Dallas,75232,32.65564,-96.842603,-96.842603-32.65564,1,2018,15,1,2082
12Jan2017,26,8:24:00,303,KY,Waddy,40076,38.149878,-85.06148,-85.06148-38.149878,1,2017,12,1,2091
06Apr2017,140,17:41:00,330,TN,Baxter,38544,36.156092,-85.640158,-85.640158-36.156092,4,2017,6,1,2118
25Mar2017,110,15:39:00,334,ID,Heyburn,83336,42.562718,-113.763959,-113.763959-42.562718,3,2017,25,1,2122
20Feb2017,23,14:26:00,337,MN,Albert Lea,56007,43.650835,-93.371347,-93.371347-43.650835,2,2017,20,1,2125
16Nov2017,60,23:12:00,359,GA,Emerson,30121,34.228469,-84.789525,-84.789525-34.228469,11,2017,16,1,2146
15Feb2017,70,7:13:00,359,GA,Emerson,30121,34.228469,-84.789525,-84.789525-34.228469,2,2017,15,1,2146
16Feb2017,79,21:26:00,359,GA,Emerson,30121,34.228469,-84.789525,-84.789525-34.228469,2,2017,16,1,2146
01Apr2017,91,10:48:00,359,GA,Emerson,30121,34.228469,-84.789525,-84.789525-34.228469,4,2017,1,1,2146
01Apr2017,49,14:21:00,359,GA,Emerson,30121,34.228469,-84.789525,-84.789525-34.228469,4,2017,1,1,2146
